from_id,to_id,play_hour
15,22,4.2
16,22,1784.0
16,40,626.0
16,235,176.0
16,244,69.0
16,76,48.0
16,10,16.1
16,245,13.6
16,246,11.7
16,25,10.2
16,247,5.8
16,206,4.1
16,24,2.3
16,53,2.2
16,248,0.6
16,13,0.6
16,249,0.4
16,250,0.3
17,22,1.1
17,251,0.4
18,22,7.4
19,22,135.0
20,40,125.0
21,22,3.8
22,22,6.2
23,10,1.2
24,22,1.9
25,241,0.6
26,22,5.2
27,252,44.0
27,253,32.0
27,65,26.0
27,254,15.9
27,255,15.8
27,156,10.5
27,58,9.5
27,256,9.2
27,10,9.0
27,22,8.6
27,257,8.3
27,258,8.3
27,259,8.2
27,260,5.9
27,261,4.7
27,262,1.3
27,142,0.9
27,95,0.6
27,61,0.5
27,202,0.5
27,263,0.4
27,264,0.2
27,265,0.2
27,168,0.1
28,266,1118.0
28,267,17.2
28,268,5.9
29,22,12.7
30,22,2.1
31,22,10.4
32,1,110.0
32,32,99.0
32,25,40.0
32,94,30.0
32,269,10.0
32,117,8.4
32,132,1.9
32,270,0.8
32,271,0.5
33,22,0.9
34,68,79.0
34,272,34.0
35,10,1085.0
36,273,36.0
36,274,0.2
37,62,16.9
38,22,4.8
39,274,211.0
39,275,78.0
39,273,60.0
39,276,31.0
39,237,11.3
39,234,10.0
39,277,7.8
39,9,1.1
39,278,0.9
39,279,0.3
39,280,0.2
40,40,94.0
40,241,15.0
40,25,10.8
40,281,6.7
40,10,3.6
40,282,2.4
40,283,2.1
40,284,0.9
40,220,0.7
40,285,0.2
41,22,5.3
42,274,91.0
43,1,465.0
43,286,40.0
44,287,66.0
44,288,35.0
44,289,22.0
44,290,19.6
44,291,16.3
44,292,14.7
44,293,14.6
44,294,14.3
44,295,13.3
44,63,11.3
44,296,11.2
44,297,10.5
44,298,9.5
44,121,9.1
44,299,9.0
44,300,8.9
44,224,8.6
44,165,7.1
44,301,7.1
44,302,7.1
44,303,5.9
44,304,5.9
44,305,5.6
44,306,5.6
44,307,5.3
44,308,5.2
44,309,5.1
44,310,5.1
44,311,4.7
44,312,4.3
44,313,4.1
44,314,4.1
44,315,3.7
44,316,3.7
44,317,3.6
44,318,3.6
44,319,3.6
44,320,3.4
44,186,3.3
44,321,3.2
44,212,3.2
44,322,3.1
44,323,2.9
44,324,2.8
44,325,2.7
44,326,2.6
44,327,2.3
44,328,2.2
44,329,2.2
44,257,2.1
44,83,2.0
44,330,2.0
44,10,1.3
44,261,1.2
44,331,1.2
44,38,1.1
44,168,1.0
44,264,1.0
44,332,0.9
44,36,0.9
44,333,0.8
44,191,0.6
44,334,0.5
44,335,0.4
44,336,0.3
44,265,0.3
44,337,0.2
44,338,0.1
45,22,62.0
46,22,22.0
47,10,2.0
47,339,0.9
47,340,0.3
48,10,762.0
48,55,348.0
48,5,270.0
48,1,220.0
48,308,113.0
48,16,105.0
48,341,99.0
48,342,84.0
48,343,62.0
48,47,61.0
48,344,58.0
48,345,57.0
48,218,56.0
48,261,46.0
48,9,44.0
48,52,44.0
48,346,41.0
48,347,39.0
48,348,38.0
48,349,38.0
48,350,36.0
48,75,32.0
48,74,31.0
48,351,31.0
48,352,27.0
48,353,24.0
48,354,23.0
48,355,23.0
48,356,23.0
